Time,Replicates,Androgens,Enzalutamide,Relative_cell_proliferation
0h,B1,VC,0uM,1.091113611
0h,B1,VC,0uM,1.012373453
0h,B1,VC,0uM,1.034870641
0h,B1,VC,0uM,0.985376828
0h,B1,VC,0uM,0.974128234
0h,B1,VC,0uM,0.902137233
24h,B1,VC,0uM,1.140607424
24h,B1,VC,0uM,1.343082115
24h,B1,VC,0uM,1.302587177
24h,B1,VC,0uM,1.403824522
24h,B1,VC,0uM,1.331833521
24h,B1,VC,0uM,1.178852643
48h,B1,VC,0uM,1.35208099
48h,B1,VC,0uM,1.673790776
48h,B1,VC,0uM,1.484814398
48h,B1,VC,0uM,1.613048369
48h,B1,VC,0uM,1.583802025
48h,B1,VC,0uM,1.493813273
72h,B1,VC,0uM,1.345331834
72h,B1,VC,0uM,1.464566929
72h,B1,VC,0uM,1.40832396
72h,B1,VC,0uM,1.5928009
72h,B1,VC,0uM,1.509561305
72h,B1,VC,0uM,1.428571429
96h,B1,VC,0uM,1.446569179
96h,B1,VC,0uM,1.480314961
96h,B1,VC,0uM,1.430821147
96h,B1,VC,0uM,1.813273341
96h,B1,VC,0uM,1.635545557
96h,B1,VC,0uM,1.545556805
0h,B2,VC,0uM,1.052375152
0h,B2,VC,0uM,1.012180268
0h,B2,VC,0uM,1.041412911
0h,B2,VC,0uM,1.019488429
0h,B2,VC,0uM,0.961023143
0h,B2,VC,0uM,0.913520097
24h,B2,VC,0uM,1.12911084
24h,B2,VC,0uM,1.253349574
24h,B2,VC,0uM,1.088915956
24h,B2,VC,0uM,1.059683313
24h,B2,VC,0uM,1.052375152
24h,B2,VC,0uM,0.993909866
48h,B2,VC,0uM,1.457978076
48h,B2,VC,0uM,1.443361754
48h,B2,VC,0uM,1.235079172
48h,B2,VC,0uM,1.172959805
48h,B2,VC,0uM,1.242387333
48h,B2,VC,0uM,1.202192448
72h,B2,VC,0uM,1.677222899
72h,B2,VC,0uM,1.669914738
72h,B2,VC,0uM,1.432399513
72h,B2,VC,0uM,1.297198538
72h,B2,VC,0uM,1.362971985
72h,B2,VC,0uM,1.381242387
96h,B2,VC,0uM,1.808769793
96h,B2,VC,0uM,1.903775883
96h,B2,VC,0uM,1.59317905
96h,B2,VC,0uM,1.476248477
96h,B2,VC,0uM,1.494518879
96h,B2,VC,0uM,1.549330085
0h,B3,VC,0uM,0.99364486
0h,B3,VC,0uM,0.968971963
0h,B3,VC,0uM,0.962242991
0h,B3,VC,0uM,1.085607477
0h,B3,VC,0uM,1.018317757
