Relative_cell_proliferation,Androgens,Enzalutamide,Replicates
0.851833741,CL,0uM,B1
0.875305623,CL,0uM,B1
0.919315403,CL,0uM,B1
1.027872861,CL,0uM,B1
1.124694377,CL,0uM,B1
1.200977995,CL,0uM,B1
0.822493888,AT,0uM,B1
0.97799511,AT,0uM,B1
1.089486553,AT,0uM,B1
1.28606357,AT,0uM,B1
1.283129584,AT,0uM,B1
1.309535452,AT,0uM,B1
1.415158924,ATT,0uM,B1
1.359413203,ATT,0uM,B1
1.485574572,ATT,0uM,B1
1.576528117,ATT,0uM,B1
1.491442543,ATT,0uM,B1
1.494376528,ATT,0uM,B1
0.945721271,CL,2uM,B1
0.97799511,CL,2uM,B1
1.063080685,CL,2uM,B1
1.115892421,CL,2uM,B1
1.136430318,CL,2uM,B1
1.101222494,CL,2uM,B1
1.06601467,AT,2uM,B1
1.080684597,AT,2uM,B1
1.101222494,AT,2uM,B1
1.151100244,AT,2uM,B1
1.11002445,AT,2uM,B1
1.195110024,AT,2uM,B1
1.250855746,ATT,2uM,B1
1.183374083,ATT,2uM,B1
1.19804401,ATT,2uM,B1
1.277261614,ATT,2uM,B1
1.262591687,ATT,2uM,B1
1.280195599,ATT,2uM,B1
0.864168618,CL,0uM,B2
0.953161593,CL,0uM,B2
0.990632319,CL,0uM,B2
1.049180328,CL,0uM,B2
1.049180328,CL,0uM,B2
1.093676815,CL,0uM,B2
0.709601874,AT,0uM,B2
0.74941452,AT,0uM,B2
0.822014052,AT,0uM,B2
0.861826698,AT,0uM,B2
0.922716628,AT,0uM,B2
0.960187354,AT,0uM,B2
1.257611241,ATT,0uM,B2
1.283372365,ATT,0uM,B2
1.337236534,ATT,0uM,B2
1.281030445,ATT,0uM,B2
1.332552693,ATT,0uM,B2
1.306791569,ATT,0uM,B2
0.889929742,CL,2uM,B2
0.922716628,CL,2uM,B2
1.037470726,CL,2uM,B2
1.098360656,CL,2uM,B2
1.128805621,CL,2uM,B2
1.119437939,CL,2uM,B2
0.798594848,AT,2uM,B2
0.992974239,AT,2uM,B2
1.039812646,AT,2uM,B2
1.072599532,AT,2uM,B2
1.133489461,AT,2uM,B2
1.175644028,AT,2uM,B2
0.852459016,ATT,2uM,B2
0.957845433,ATT,2uM,B2
1.093676815,ATT,2uM,B2
1.1264637,ATT,2uM,B2
1.173302108,ATT,2uM,B2
1.156908665,ATT,2uM,B2
0.952305873,CL,0uM,B3
0.980685849,CL,0uM,B3
0.997240836,CL,0uM,B3
1.054000788,CL,0uM,B3
1.032715806,CL,0uM,B3
0.983050847,CL,0uM,B3
0.973590855,AT,0uM,B3
0.961765865,AT,0uM,B3
1.02798581,AT,0uM,B3
1.056365786,AT,0uM,B3
1.035080804,AT,0uM,B3
1.06346078,AT,0uM,B3
1.200630666,ATT,0uM,B3
1.212455656,ATT,0uM,B3
1.19590067,ATT,0uM,B3
1.169885692,ATT,0uM,B3
1.255025621,ATT,0uM,B3
1.250295625,ATT,0uM,B3
1.011430824,CL,2uM,B3
1.042175798,CL,2uM,B3
1.084745763,CL,2uM,B3
1.098935751,CL,2uM,B3
0.968860859,CL,2uM,B3
0.942845881,CL,2uM,B3
1.009065826,AT,2uM,B3
1.077650769,AT,2uM,B3
1.110760741,AT,2uM,B3
1.098935751,AT,2uM,B3
1.070555775,AT,2uM,B3
1.072920773,AT,2uM,B3
1.089475759,ATT,2uM,B3
1.018525818,ATT,2uM,B3
1.146235711,ATT,2uM,B3
1.165155696,ATT,2uM,B3
1.115490737,ATT,2uM,B3
0.949940875,ATT,2uM,B3
