Relative_cell_proliferation,Androgens,Enzalutamide,Replicates
0.780762565,CL,0uM,B1
0.85355286,CL,0uM,B1
0.970537262,CL,0uM,B1
1.06932409,CL,0uM,B1
1.116117851,CL,0uM,B1
1.209705373,CL,0uM,B1
1.006932409,AT,0uM,B1
1.004332756,AT,0uM,B1
1.116117851,AT,0uM,B1
1.214904679,AT,0uM,B1
1.264298094,AT,0uM,B1
1.240901213,AT,0uM,B1
1.500866551,epiAT,0uM,B1
1.485268631,epiAT,0uM,B1
1.472270364,epiAT,0uM,B1
1.521663778,epiAT,0uM,B1
1.469670711,epiAT,0uM,B1
1.714038128,epiAT,0uM,B1
1.004332756,CL,2uM,B1
1.027729636,CL,2uM,B1
1.017331023,CL,2uM,B1
1.051126516,CL,2uM,B1
1.097920277,CL,2uM,B1
1.103119584,CL,2uM,B1
0.806759099,AT,2uM,B1
0.913344887,AT,2uM,B1
0.970537262,AT,2uM,B1
1.012131716,AT,2uM,B1
0.988734835,AT,2uM,B1
0.962738302,AT,2uM,B1
0.944540728,epiAT,2uM,B1
0.902946274,epiAT,2uM,B1
0.993934142,epiAT,2uM,B1
0.973136915,epiAT,2uM,B1
0.960138648,epiAT,2uM,B1
1.082322357,epiAT,2uM,B1
0.962785114,CL,0uM,B2
1.030012005,CL,0uM,B2
1.030012005,CL,0uM,B2
1.022809124,CL,0uM,B2
0.981992797,CL,0uM,B2
0.972388956,CL,0uM,B2
1.015606242,AT,0uM,B2
1.051620648,AT,0uM,B2
1.070828331,AT,0uM,B2
1.128451381,AT,0uM,B2
1.034813926,AT,0uM,B2
1.013205282,AT,0uM,B2
1.361344538,epiAT,0uM,B2
1.320528211,epiAT,0uM,B2
1.505402161,epiAT,0uM,B2
1.524609844,epiAT,0uM,B2
1.3757503,epiAT,0uM,B2
1.322929172,epiAT,0uM,B2
1.056422569,CL,2uM,B2
1.092436975,CL,2uM,B2
1.094837935,CL,2uM,B2
1.174069628,CL,2uM,B2
1.049219688,CL,2uM,B2
1.022809124,CL,2uM,B2
0.957983193,AT,2uM,B2
0.962785114,AT,2uM,B2
1.042016807,AT,2uM,B2
1.222088836,AT,2uM,B2
1.042016807,AT,2uM,B2
0.974789916,AT,2uM,B2
0.926770708,epiAT,2uM,B2
0.905162065,epiAT,2uM,B2
1.013205282,epiAT,2uM,B2
1.032412965,epiAT,2uM,B2
1.020408163,epiAT,2uM,B2
0.931572629,epiAT,2uM,B2
0.966944801,CL,0uM,B3
1.005455712,CL,0uM,B3
1.03241335,CL,0uM,B3
0.99775353,CL,0uM,B3
0.98042362,CL,0uM,B3
1.017008986,CL,0uM,B3
1.018934531,AT,0uM,B3
1.122913992,AT,0uM,B3
1.246148909,AT,0uM,B3
1.165275995,AT,0uM,B3
1.203786906,AT,0uM,B3
1.113286264,AT,0uM,B3
1.334724005,epiAT,0uM,B3
1.4021181,epiAT,0uM,B3
1.481065469,epiAT,0uM,B3
1.498395379,epiAT,0uM,B3
1.442554557,epiAT,0uM,B3
1.242297818,epiAT,0uM,B3
0.976572529,CL,2uM,B3
1.020860077,CL,2uM,B3
1.007381258,CL,2uM,B3
1.036264442,CL,2uM,B3
0.990051348,CL,2uM,B3
0.924582798,CL,2uM,B3
0.995827985,AT,2uM,B3
1.180680359,AT,2uM,B3
1.192233633,AT,2uM,B3
1.113286264,AT,2uM,B3
1.117137356,AT,2uM,B3
0.947689345,AT,2uM,B3
1.013157895,epiAT,2uM,B3
1.028562259,epiAT,2uM,B3
1.109435173,epiAT,2uM,B3
1.068998716,epiAT,2uM,B3
1.043966624,epiAT,2uM,B3
0.916880616,epiAT,2uM,B3
