Relative_cell_proliferation,Androgens,Enzalutamide,Time,Replicates
0.918439716,VC,0uM,24h,B1
1.040020263,VC,0uM,24h,B1
1.006585613,VC,0uM,24h,B1
1.033941236,VC,0uM,24h,B1
0.997467072,VC,0uM,24h,B1
1.003546099,VC,0uM,24h,B1
1.228470111,11OHT,0uM,24h,B1
1.280141844,11OHT,0uM,24h,B1
1.274062817,11OHT,0uM,24h,B1
1.453394124,11OHT,0uM,24h,B1
1.422998987,11OHT,0uM,24h,B1
1.462512665,11OHT,0uM,24h,B1
1.049138804,VC,2uM,24h,B1
1.018743668,VC,2uM,24h,B1
1.052178318,VC,2uM,24h,B1
1.106889564,VC,2uM,24h,B1
1.09473151,VC,2uM,24h,B1
1.000506586,VC,2uM,24h,B1
1.064336373,11OHT,2uM,24h,B1
1.195035461,11OHT,2uM,24h,B1
1.213272543,11OHT,2uM,24h,B1
1.222391084,11OHT,2uM,24h,B1
1.234549139,11OHT,2uM,24h,B1
1.356129686,11OHT,2uM,24h,B1
0.897709924,VC,0uM,48h,B1
0.964885496,VC,0uM,48h,B1
0.986259542,VC,0uM,48h,B1
1.016793893,VC,0uM,48h,B1
1.047328244,VC,0uM,48h,B1
1.087022901,VC,0uM,48h,B1
1.761832061,11OHT,0uM,48h,B1
1.877862595,11OHT,0uM,48h,B1
1.887022901,11OHT,0uM,48h,B1
1.780152672,11OHT,0uM,48h,B1
1.966412214,11OHT,0uM,48h,B1
1.716030534,11OHT,0uM,48h,B1
0.964885496,VC,2uM,48h,B1
1.090076336,VC,2uM,48h,B1
1.035114504,VC,2uM,48h,B1
1.083969466,VC,2uM,48h,B1
1.123664122,VC,2uM,48h,B1
1.065648855,VC,2uM,48h,B1
1.374045802,11OHT,2uM,48h,B1
1.300763359,11OHT,2uM,48h,B1
1.505343511,11OHT,2uM,48h,B1
1.389312977,11OHT,2uM,48h,B1
1.438167939,11OHT,2uM,48h,B1
1.389312977,11OHT,2uM,48h,B1
0.992369325,VC,0uM,96h,B1
0.914536436,VC,0uM,96h,B1
0.99694773,VC,0uM,96h,B1
1.04959939,VC,0uM,96h,B1
0.967188096,VC,0uM,96h,B1
