Relative_cell_proliferation,Androgens,Enzalutamide,Time,Replicates
0.918439716,VC,0uM,24h,B1
1.040020263,VC,0uM,24h,B1
1.006585613,VC,0uM,24h,B1
1.033941236,VC,0uM,24h,B1
0.997467072,VC,0uM,24h,B1
1.003546099,VC,0uM,24h,B1
1.401722391,epiT,0uM,24h,B1
1.422998987,epiT,0uM,24h,B1
1.383485309,epiT,0uM,24h,B1
1.459473151,epiT,0uM,24h,B1
1.386524823,epiT,0uM,24h,B1
1.389564336,epiT,0uM,24h,B1
1.322695035,T,0uM,24h,B1
1.21935157,T,0uM,24h,B1
1.456433637,T,0uM,24h,B1
1.422998987,T,0uM,24h,B1
1.459473151,T,0uM,24h,B1
1.280141844,T,0uM,24h,B1
1.01266464,AD,0uM,24h,B1
1.143363728,AD,0uM,24h,B1
1.091691996,AD,0uM,24h,B1
1.15248227,AD,0uM,24h,B1
1.210233029,AD,0uM,24h,B1
1.228470111,AD,0uM,24h,B1
1.049138804,VC,2uM,24h,B1
1.018743668,VC,2uM,24h,B1
1.052178318,VC,2uM,24h,B1
1.106889564,VC,2uM,24h,B1
1.09473151,VC,2uM,24h,B1
1.000506586,VC,2uM,24h,B1
1.213272543,epiT,2uM,24h,B1
1.067375887,epiT,2uM,24h,B1
1.15248227,epiT,2uM,24h,B1
1.249746707,epiT,2uM,24h,B1
1.082573455,epiT,2uM,24h,B1
1.155521783,epiT,2uM,24h,B1
1.228470111,T,2uM,24h,B1
1.27710233,T,2uM,24h,B1
1.264944276,T,2uM,24h,B1
1.225430598,T,2uM,24h,B1
1.207193516,T,2uM,24h,B1
1.258865248,T,2uM,24h,B1
1.052178318,AD,2uM,24h,B1
1.15248227,AD,2uM,24h,B1
1.179837893,AD,2uM,24h,B1
1.164640324,AD,2uM,24h,B1
1.0704154,AD,2uM,24h,B1
1.18591692,AD,2uM,24h,B1
0.897709924,VC,0uM,48h,B1
0.964885496,VC,0uM,48h,B1
0.986259542,VC,0uM,48h,B1
1.016793893,VC,0uM,48h,B1
1.047328244,VC,0uM,48h,B1
1.087022901,VC,0uM,48h,B1
1.709923664,epiT,0uM,48h,B1
