Relative_cell_proliferation,Androgens,Time,Replicates
0.768,VC,d2,B1
0.8544,VC,d2,B1
0.9888,VC,d2,B1
1.0272,VC,d2,B1
1.152,VC,d2,B1
1.2096,VC,d2,B1
1.1616,epiT,d2,B1
1.3344,epiT,d2,B1
1.4592,epiT,d2,B1
1.6128,epiT,d2,B1
1.8048,epiT,d2,B1
1.7664,epiT,d2,B1
1.0656,T,d2,B1
1.3248,T,d2,B1
1.3632,T,d2,B1
1.5552,T,d2,B1
1.7184,T,d2,B1
1.8048,T,d2,B1
1.2192,AD,d2,B1
1.3344,AD,d2,B1
1.44,AD,d2,B1
1.68,AD,d2,B1
1.8048,AD,d2,B1
1.9584,AD,d2,B1
1.1136,11OHT,d2,B1
1.344,11OHT,d2,B1
1.536,11OHT,d2,B1
1.5072,11OHT,d2,B1
1.6896,11OHT,d2,B1
1.7472,11OHT,d2,B1
0.726890756,VC,d4,B1
0.739495798,VC,d4,B1
0.978991597,VC,d4,B1
1.067226891,VC,d4,B1
1.168067227,VC,d4,B1
1.319327731,VC,d4,B1
2.025210084,epiT,d4,B1
1.974789916,epiT,d4,B1
2.277310924,epiT,d4,B1
2.466386555,epiT,d4,B1
2.491596639,epiT,d4,B1
2.693277311,epiT,d4,B1
1.483193277,T,d4,B1
1.558823529,T,d4,B1
1.848739496,T,d4,B1
2.302521008,T,d4,B1
2.277310924,T,d4,B1
2.428571429,T,d4,B1
2.264705882,AD,d4,B1
2.542016807,AD,d4,B1
2.857142857,AD,d4,B1
3.348739496,AD,d4,B1
3.336134454,AD,d4,B1
3.361344538,AD,d4,B1
1.294117647,11OHT,d4,B1
1.369747899,11OHT,d4,B1
1.735294118,11OHT,d4,B1
1.974789916,11OHT,d4,B1
2.302521008,11OHT,d4,B1
2.352941176,11OHT,d4,B1
1.007936508,VC,d8,B1
0.896825397,VC,d8,B1
0.896825397,VC,d8,B1
1.03968254,VC,d8,B1
1.03968254,VC,d8,B1
1.119047619,VC,d8,B1
2.753968254,epiT,d8,B1
2.341269841,epiT,d8,B1
2.531746032,epiT,d8,B1
2.865079365,epiT,d8,B1
2.547619048,epiT,d8,B1
2.373015873,epiT,d8,B1
3.880952381,T,d8,B1
4.103174603,T,d8,B1
3.801587302,T,d8,B1
4.055555556,T,d8,B1
3.531746032,T,d8,B1
3.595238095,T,d8,B1
4.325396825,AD,d8,B1
3.976190476,AD,d8,B1
4.166666667,AD,d8,B1
4.420634921,AD,d8,B1
4.071428571,AD,d8,B1
4.03968254,AD,d8,B1
3.865079365,11OHT,d8,B1
3.753968254,11OHT,d8,B1
3.626984127,11OHT,d8,B1
3.595238095,11OHT,d8,B1
3.198412698,11OHT,d8,B1
3.166666667,11OHT,d8,B1
0.857881137,VC,d2,B2
0.842377261,VC,d2,B2
0.997416021,VC,d2,B2
1.043927649,VC,d2,B2
1.090439276,VC,d2,B2
1.167958656,VC,d2,B2
1.4625323,epiT,d2,B2
1.524547804,epiT,d2,B2
1.571059432,epiT,d2,B2
1.772609819,epiT,d2,B2
1.679586563,epiT,d2,B2
1.679586563,epiT,d2,B2
1.648578811,T,d2,B2
1.741602067,T,d2,B2
1.819121447,T,d2,B2
1.912144703,T,d2,B2
1.850129199,T,d2,B2
1.850129199,T,d2,B2
1.757105943,AD,d2,B2
1.850129199,AD,d2,B2
1.881136951,AD,d2,B2
1.865633075,AD,d2,B2
1.927648579,AD,d2,B2
1.943152455,AD,d2,B2
1.741602067,11OHT,d2,B2
1.788113695,11OHT,d2,B2
1.865633075,11OHT,d2,B2
1.865633075,11OHT,d2,B2
1.912144703,11OHT,d2,B2
1.648578811,11OHT,d2,B2
0.922600619,VC,d4,B2
0.922600619,VC,d4,B2
1.015479876,VC,d4,B2
1.089783282,VC,d4,B2
1.015479876,VC,d4,B2
1.034055728,VC,d4,B2
2.148606811,epiT,d4,B2
2.222910217,epiT,d4,B2
2.390092879,epiT,d4,B2
2.352941176,epiT,d4,B2
2.222910217,epiT,d4,B2
2.26006192,epiT,d4,B2
2.687306502,T,d4,B2
2.761609907,T,d4,B2
2.873065015,T,d4,B2
2.92879257,T,d4,B2
3.040247678,T,d4,B2
2.910216718,T,d4,B2
3.151702786,AD,d4,B2
3.263157895,AD,d4,B2
3.300309598,AD,d4,B2
3.541795666,AD,d4,B2
3.430340557,AD,d4,B2
3.281733746,AD,d4,B2
2.705882353,11OHT,d4,B2
2.761609907,11OHT,d4,B2
2.743034056,11OHT,d4,B2
2.891640867,11OHT,d4,B2
2.891640867,11OHT,d4,B2
2.780185759,11OHT,d4,B2
0.984375,VC,d8,B2
0.9609375,VC,d8,B2
0.984375,VC,d8,B2
1.0078125,VC,d8,B2
1.0078125,VC,d8,B2
1.0546875,VC,d8,B2
2.5078125,epiT,d8,B2
2.3671875,epiT,d8,B2
2.4609375,epiT,d8,B2
2.296875,epiT,d8,B2
